identifier,identifier_isbn,identifier_issn,abstract,note,title_initial_article,title,extent,rights,language,publisher,object_in_context,item_type,date_text,date_single_start,name,name 2 1,name 2 2,name 2 3,name 2 4,name 2 5,name 2 6,name 2 7,name 2 8,name 2 9,name 2 10,name 2 11,name 2 12,name 2 13,name 2 14,name 2 15,subject_topic 1,subject_topic 2,subject_topic 3,subject_name 1,form,internet_media_type,digital_origin,genre,project_title,record_source,repository,thumbnail_url
0116_000050_000291,938008676,,"This book published in 1989, is a picture of the lives of American children and families today and a projected picture of the year 2000 and beyond.
if current trends persist.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",A ,"Vision for America's Future, An Agenda for the 1990s: A Children's Defense Budget",,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=206,text,1989,1989,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,Children--Government policy,Child welfare--United States | http://id.loc.gov/authorities/subjects/sh2008100367,,corporation reports | http://vocab.getty.edu/aat/300027275,image/jp2,reformatted digital,Corporation reports | http://id.loc.gov/authorities/subjects/sh85032921,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000291/0116_000050_000291_0001.jpg.t.jpg
0116_000050_000223,1881985318,1084-3191,"A comprehensive review of national and state-by-state data on child poverty, health, child welfare, youth at risk, early childhood development, education, nutrition, and housing.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",The ,State of America's Children Yearbook 2001,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=137,text,2001,2001,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Martinez, Suzanne | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Serafi, Kinda | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Maerowitz, Deena | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,Children's rights--United States | http://id.loc.gov/authorities/subject/sh2008100423,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000223/0116_000050_000223_0001.jpg.t.jpg
0116_000050_000249,,,"This report provides an overview of the emerging youth service movement, focusing on some of the organizations and model programs that have reinforced and built upon the foundation of service in traditional civic, youth, and religious organizations. These new creative programs hope to tap a vast reservoir of youth talent and energy, channeling them into service activities to meet the nation's needs.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Service Opportunities for Youths,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=165,text,1989,1989,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Heffernan, David | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,Youth development | http://id.loc.gov/authorities/subjects/sh2002010586,Service learning | http://id.loc.gov/authorities/subjects/sh86008119,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000249/0116_000050_000249_0001.jpg.t.jpg
0116_000050_000270,0938008404,0736-6701,1986 Children's Defense Fund budget,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",A ,Children's Defense Budget: An Analysis of the President's FY 1986 Budget and Children,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=185,text,1986,1986,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493, , ,,corporation reports | http://vocab.getty.edu/aat/300027275,image/jp2,reformatted digital,Corporation reports | http://id.loc.gov/authorities/subjects/sh85032921,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000270/0116_000050_000270_0001.jpg.t.jpg
0116_000050_000252,,,This report is the third in a series of reports on adolescent pregnancy prevention. It is intended as a reference tool for those who want to begin to answer the question: what can states do to help prevent teen pregnancy?,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Adolescent Pregnancy: What the States Are Saying,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=167,text,1986,1986,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Govan, Karie | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Pittman, Karen J., 1952- | URI: http://id.loc.gov/authorities/names/n85038482 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Savage, Barbara Dianne | URI: http://id.loc.gov/authorities/names/n98090585 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,Teenage pregnancy--United States | http://id.loc.gov/authorities/subjects/sh2008112710, ,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000252/0116_000050_000252_0001.jpg.t.jpg
0116_000050_000235,,,Sample materials for creating a Child Watch Program.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Child Watch Visitation Program Sample Materials Appendix,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=149,text,1992,1992,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,Legal assistance to children | http://id.loc.gov/authorities/subjects/sh85075722,,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000235/0116_000050_000235_0001.jpg.t.jpg
0116_000050_000260,1881985253,,This study looks at the impact of the State ChiLdren's Health Insurance Program (CHIP) and suggests ways for states to successfully provide healthcare coverage for children.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,All Over the Map: A Progress Report on the State Children's Health Insurance Program (CHIP),,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=176,text,2000,2000,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Edmunds, Margo | URI: http://id.loc.gov/authorities/names/n2001145744 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Teitelbaum, Martha Ann | URI: http://id.loc.gov/authorities/names/n88668659 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Gleason, Cassy | URI: http://id.loc.gov/authorities/names/n2001145745 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb", ,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,Child health services--United States | http://id.loc.gov/authorities/subjects/sh85023370,Health insurance--United States | http://id.loc.gov/authorities/subjects/sh85066943,State Children's Health Insurance Program (U.S.) | http://id.loc.gov/authorities/names/no99007367,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000260/0116_000050_000260_0001.jpg.t.jpg
0116_000050_000264,,,This book is devoted to how agencies can provide primary health care services to all children and their families. It describes the elements of good health care programs and evaluates EPSDT to determine if this preventive and primary health care program measures up to CDF's standards.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,EPSDT: Does It Spell Health Care for Poor Children?,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=179,text,1977,1977,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Lazarus, Wendy | URI: http://id.loc.gov/authorities/names/n82064448 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,Children--Health and hygiene | http://id.loc.gov/authorities/subjects/sh85023425,Child health services--United States | http://id.loc.gov/authorities/subjects/sh85023370,,"Early and Periodic Screening, Diagnosis, and Treatment Program (U.S.) | http://id.loc.gov/authorities/names/n86014229",reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000264/0116_000050_000264_0001.jpg.t.jpg
0116_000050_000305,,,"Child advocates share their visions of how adults, religious congregations and communities can protect the health, safety and spiritual well-being of future generations.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Where Do We Go From Here: Chaos or Community?,16 minutes,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=208&vaz=1,moving image,1995,1995,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Edelman, Marian Wright | URI: http://id.loc.gov/authorities/names/n82023579 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Proctor, Samuel | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Aird, Enola G. | URI: http://id.loc.gov/authorities/names/no2005120555 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Linder, Eileen, Rev. Dr. | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Streets, Frederick J. | URI: http://id.loc.gov/authorities/names/n2004110521 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Murray, Walter, Rev. | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Wesley, Robert, Jr., M.D. | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb","Forbes, James A. | URI: http://id.loc.gov/authorities/names/no2012033147 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",South Carolina Educational Television Network | URI: http://id.loc.gov/authorities/names/n80149991 | Role: production company  | Role URI: http://id.loc.gov/vocabulary/relators/prn,,,,,,,Child welfare--United States | http://id.loc.gov/authorities/subjects/sh2008100367,Church work with children | http://id.loc.gov/authorities/subjects/sh85025784,Church and social problems | http://id.loc.gov/authorities/subjects/sh85025528,,video recordings | http://vocab.getty.edu/aat/300028682,video/H264,born digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000305/0116_000050_000305_0001.jpg.t.jpg
0116_000050_000227,,,An annual report of the Children's Defense Fund.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Children's Defense Fund Annual Report 1999,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=141,text,1999,1999,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,,,,corporation reports | http://vocab.getty.edu/aat/300027275,image/jp2,reformatted digital,Corporation reports | http://id.loc.gov/authorities/subjects/sh85032921,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000227/0116_000050_000227_0001.jpg.t.jpg
0116_000050_000286, 0938008994,,This book gives facts on the conditions of African American children in America,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Progress and Peril: Black Children in America,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=201,text,1993,1993,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,Black Community Crusade for Children (U.S.) | http://id.loc.gov/authorities/names/n93062556 ,,,,,,,,,,,,,,,Children--United States | http://id.loc.gov/authorities/subjects/sh85023493,African American children | http://id.loc.gov/authorities/subjects/sh85001809,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000286/0116_000050_000286_0001.jpg.t.jpg
0116_000050_000259,,,This report presents statistical data to document the economic and social effects of childhood poverty.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Poverty Matters: The Cost of Child Poverty in America,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=175,text,1997,1997,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Sherman, Arloc | URI: http://id.loc.gov/authorities/names/n92122654 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,Poor children | http://id.loc.gov/authorities/subjects/sh85104852,,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000259/0116_000050_000259_0001.jpg.t.jpg
0116_000050_000236,,,Sample materials for creating a Child Watch Program.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Child Watch Visitation Program Sample Materials Appendix,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=150,text,1993,1993,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,,,,,,,,,,,,,,,,Legal assistance to children | http://id.loc.gov/authorities/subjects/sh85075722,,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000236/0116_000050_000236_0001.jpg.t.jpg
0116_000050_000313,,,Joan Brown Campbell talks about choices she has made through the years,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Child Advocacy Ministry: Making Choices,37 minutes,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=216&vaz=1,moving image,1998,1998,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Campbell, Joan Brown, 1931- | URI: http://id.loc.gov/authorities/names/n2013045473 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",South Carolina Educational Television Network | URI: http://id.loc.gov/authorities/names/n80149991 | Role: production company  | Role URI: http://id.loc.gov/vocabulary/relators/prn,,,,,,,,,,,,,,Church and social problems | http://id.loc.gov/authorities/subjects/sh85025528,Church work with children | http://id.loc.gov/authorities/subjects/sh85025784,,,video recordings | http://vocab.getty.edu/aat/300028682,video/H264,born digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000313/0116_000050_000313_0001.jpg.t.jpg
0116_000050_000245,,,"This report focuses on a large
number of children subjected to violation of
their rights and well-being through jail incarceration. It seeks to determine why children are jailed, which children are placed behind bars, and what happens to children in jails.","The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Children in Adult Jails: A Report,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=159,text,1976,1976,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Polier, Justine Wise, 1903-1987 | URI: http://id.loc.gov/authorities/names/n85386445 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,,Juvenile delinquency--United States | http://id.loc.gov/authorities/subjects/sh2008106275,"Juvenile justice, Administration of--United States | http://id.loc.gov/authorities/subjects/sh2009128016",,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000245/0116_000050_000245_0001.jpg.t.jpg
0116_000050_000277,,,This report focuses on ways to increase and improve paternity establishment and other child support enforcement services for children born to teen mothers.,"The University of Tennessee Libraries (Knoxville, Tennessee) is the digital publisher.",,Child Support And Teen Parents,,"You may copy reprint, publish, reproduce, or otherwise display materials created by CDF or CDFAC and made available through a Children's Defense Fund Site (collectively, the ""Children's Defense Fund Works"") on the condition that you attribute those materials to CDF. Form of attribution to use: This material was created by the Children's Defense Fund.",eng,Children's Defense Fund (U.S.),http://diglib.lib.utk.edu/cdf/main.php?bid=192,text,1987,1987,Children's Defense Fund (U.S.) | URI: http://id.loc.gov/authorities/names/n80083301 | Role: Originator | Role URI: http://id.loc.gov/vocabulary/relators/org,"Savage, Barbara Dianne | URI: http://id.loc.gov/authorities/names/n98090585 | Role: Contributor | Role URI: http://id.loc.gov/vocabulary/relators/ctb",,,,,,,,,,,,,,, Teenage parents--Government policy | http://id.loc.gov/authorities/subjects/sh85000967, Child support--United States | http://id.loc.gov/authorities/subjects/sh2008100405,,,reports | http://vocab.getty.edu/aat/300027267,image/jp2,reformatted digital,,Children's Defense Fund Digital Collection,"University of Tennessee, Knoxville. Libraries","University of Tennessee, Knoxville. Special Collections",http://diglib.lib.utk.edu/cdf/data/0116_000050_000277/0116_000050_000277_0001.jpg.t.jpg
